stop_id,stop_name,stop_lon,stop_lat
12322,Ebenhausen-Schäftlarn,11.453558333333334,47.978653333333334
1646,Hohenschäftlarn,11.457632,47.991433
561,Baierbrunn,11.485248,48.019104
6295,Buchenhain,11.4977545,48.0319635
4140,Harras,11.536216666666666,48.11725333333333
491,Perlach,11.6312925,48.093399000000005
5485,Neuperlach Süd,11.645094499999999,48.088749
3812,Neubiberg,11.660441,48.07569766666668
11238,Ottobrunn,11.677902,48.063632999999996
12969,Hohenbrunn,11.6987215,48.046713
13523,Wächterhof,11.7130265,48.035288
6224,Höhenkirchen-Siegertsbrunn,11.719236333333335,48.018296
2898,Dürrnhaar,11.735496999999999,47.993339500000005
7283,Aying,11.769464666666666,47.968848333333334
10217,Peiß,11.7766105,47.9600485
9045,Großhelfendorf,11.781907499999999,47.945303
