stop_name,stop_id,stop_lat,stop_lon
Bad Bentheim(Gr),11713,52.3091,7.04016
Bad Bergzabern,2193,49.103214,8.003127
Bad Berka,5608,50.896137,11.28155
Bad Berka,6871,50.896137,11.28155
Bad Berka Zeughausplatz,7647,50.90044,11.280095
Bad Berleburg,1775,51.051292,8.394181
Bad Bevensen,2057,53.07822,10.574081
Bad Bevensen,3425,53.078274,10.574201
Bad Birnbach,11311,48.432854,13.074034
Bad Blankenburg(Thüringerw),12972,50.682648,11.275498
Bad Blankenburg(Thüringerw),9446,50.682648,11.275498
Bad Bodendorf,5201,50.556267,7.217217
Bad Bodenteich,11181,52.83515,10.672824
Bad Bodenteich,3412,52.835255,10.67269
Bad Brambach,5515,50.217587,12.311414
Bad Bramstedt,13191,53.920593,9.890162
Bad Bramstedt Kurhaus,10543,53.903366,9.89042
Bad Breisig,2552,50.50422,7.304564
Bad Breisig,5367,50.50422,7.304564
Bad Camberg,13825,50.296757,8.254977
Bad Camberg,327,50.296757,8.254977
Bad Doberan,11783,54.10001,11.904097
Bad Doberan,2648,54.099743,11.905893
Bad Doberan,8006,54.100002,11.905335
Bad Doberan,9292,54.099796,11.905929
Bad Doberan Goethestraße,7914,54.108463,11.899894
Bad Doberan Stadtmitte,8201,54.10465,11.9021
Bad Driburg(Westf),10631,51.730007,9.031096
Bad Driburg(Westf),4609,51.729942,9.031006
Bad Driburg(Westf),7359,51.730324,9.03081
Bad Dürkheim,14531,49.46077,8.171148
Bad Dürkheim,375,49.460827,8.171103
Bad Dürkheim,8750,49.46087,8.171067
Bad Dürkheim-Trift,7414,49.466274,8.192878
Bad Dürrenberg,13227,51.305164,12.071053
Bad Dürrenberg,5301,51.305164,12.071053
Bad Elster,2560,50.296673,12.256286
Bad Ems,5241,50.327652,7.728637
Bad Ems,5377,50.327652,7.728637
Bad Ems West,1923,50.330692,7.706039
Bad Ems West,68,50.330692,7.706039
Bad Endorf,2218,47.905067,12.301558
Bad Endorf,2655,47.905067,12.301558
Bad Fallingbostel,3203,52.86279,9.700049
"Bad Fr.-Kochendorf, Bahnhof,Kochendorf",6876,49.217796,9.211711
Bad Freienwalde,5820,52.789963,14.035761
Bad Friedrichshall Hbf,12049,49.23182,9.199871
Bad Friedrichshall Hbf,12666,49.231453,9.199467
